"SiteId"	"SampId"	"MonitoringProgram"	"Day"	"Month"	"Year"	"Station.nb."	"Watercourse"	"Locality"	"Canton"	"X"	"Y"	"Altitude"	"Sampling.window"	"IBCH.index"	"SPEAR.index"	"Latitude"	"Longitude"
"CSCF_84_5550_GE"	"CSCF_84_5550_GE_2011-03-07"	"Other programs"	7	3	2011	"84_5550_GE"	"L'Allondon"	"L'Allondon, Les Granges"	"Genève"	488869	119400	397	1	16	43	46.2168702069676	5.99841084132802
"CSCF_91_150_GE"	"CSCF_91_150_GE_2011-03-10"	"Other programs"	10	3	2011	"91_150_GE"	"Le Roulave"	"Le Roulave, embouchure"	"Genève"	488559	117910	383	1	16	41.6	46.2034178597303	5.99474952554451
"CSCF_84_7850_GE"	"CSCF_84_7850_GE_2011-03-07"	"Other programs"	7	3	2011	"84_7850_GE"	"L'Allondon"	"L'Allondon, Fabry (CH/F)"	"Genève"	490029	120710	417	1	14	34.4	46.2288429345884	6.01313232414576
"CSCF_84_8800_GE"	"CSCF_84_8800_GE_2011-03-10"	"Other programs"	10	3	2011	"84_8800_GE"	"L'Allondon"	"L'Allondon, Grand-Pré"	"Genève"	490324	121300	424	1	17	41.7	46.2341975814113	6.01681685865586
"CSCF_91_2500_GE"	"CSCF_91_2500_GE_2011-03-10"	"Other programs"	10	3	2011	"91_2500_GE"	"Le Roulave"	"Le Roulave, amont St. Jean"	"Genève"	486714	117735	440	1	16	54	46.2015360482942	5.9708928369618
"CSCF_BOR 03.7_VS"	"CSCF_BOR 03.7_VS_2011-03-12"	"Other programs"	12	3	2011	"BOR 03.7_VS"	"Borgne"	"Borgne, Amont dépotoir"	"Valais"	597630	118580	540	1	11	47.8	46.2186621944399	7.40792330660761
"CSCF_RUS 01.7_VS"	"CSCF_RUS 01.7_VS_2011-03-02"	"Other programs"	2	3	2011	"RUS 01.7_VS"	"Russbrunnubach"	"Russbrunnubach, Russubrunnu"	"Valais"	611404	128727	557	1	13	40.9	46.3098478888776	7.58667471037856
"CSCF_GOR 01.9_VS"	"CSCF_GOR 01.9_VS_2011-05-05"	"Other programs"	5	5	2011	"GOR 01.9_VS"	"Gorpatbach"	"Gorpatbach, Eischollalp"	"Valais"	625470	124595	1790	1	14	47.3	46.2722925716308	7.76904074421449
"CSCF_BUT 01.0_VS"	"CSCF_BUT 01.0_VS_2011-03-02"	"Other programs"	2	3	2011	"BUT 01.0_VS"	"Buttenbach"	"Buttenbach"	"Valais"	612032	127496	556	1	10	24.5	46.298763371078	7.59479508482441
"CSCF_DAL 00.1_VS"	"CSCF_DAL 00.1_VS_2011-03-01"	"Other programs"	1	3	2011	"DAL 00.1_VS"	"Dala"	"Dala, Dala"	"Valais"	614154	129459	597	1	13	47.1	46.3163803743371	7.62239510749174
