;column name;unit/type;topic;explanation;further information;link to tab Data_Sources;data owner;license required;spatial context;responsible @ eawag;data example;data example;data example
;SIED;m2;landuse;settlement areas;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;22139.27;2196771.95;14207204.08
;DEPO;m2;landuse;"deponie = landfill; partly overlapping with settlements and other areas";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;10000;200000
;FASS_ANT;%;landuse;vertical facades (not included in settlement area);;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0.01;2.52;2.22
;DACH_ANT;%;landuse;roof area =  footprint of the buildings, not specific for any roof type, entspricht Gebäudegrundriss;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0.01;1.01;0.96
;FA_DACH_ANT;%;landuse;building envelopes (facades and roof area);;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0.02;3.53;3.18
;S_STR_A_ANT;%;landuse;road areas in settlement areas = road length from line data * average width of 11.7m, can overlap with other areas! ;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.98;0.85
;GRUEF_ANT;%;landuse;green area within settlement areas: for areas with no measurements a fraction of 0.38 of total settlement area is assumed (average from areas with measurements).;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0.01;3.01;1.84
;SIED_ANT;%;landuse;settlement areas;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0.02;5.57;4.69
;DEPO_ANT;%;landuse;"deponie = landfill; partly overlapping with settlements and other areas";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.03;0.07
;ARA;m3/a;landuse;"number of connected inhabitants * 400L per day * 365 days per year / 1000L/m3;  Angeschlossene Einwohner * 400l Abwasser pro Tag * 365 / 1000";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;218925;8221500
;MW;m3/a;landuse;"modelled; number of inhabitants * 400L per day * 365 days per year / 1000L/m3 * 0.035 ; = Angeschlossene Einwohner * 400l Abwasser pro Tag * 365 / 1000 * 0.035";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;14576;204117
;GEL_L;m;landuse;rail length: outside settlement;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;7807.251;45360.077
;GEL_A;m2;landuse;"rail area: outside settlement;  from line data * assumed average width: Normalspurbahnen: 1.435m; Schmalspurbahnen: 0.75m; Bahnhofstrecken: 1.435m";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;6074.34;50053.036
;A_STR_A;m2;landuse;"motorway area: outside settlement;  road length from line data * average width of 11.7m, can overlap with other areas! ";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0;33074.514
;A_STR_L;m;landuse;motorway length: outside settlement;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0;2826.882
;K_STR_A;m2;landuse;"cantonal roads area: outside settlement; road length from line data * average width of 11.7m, can overlap with other areas! ";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;105377.503;730887.489
;K_STR_L;m;landuse;cantonal roads length: outside settlement;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;9006.624;62469.016
;G_STR_A;m2;landuse;"local roads area: outside settlement; road length from line data * average width of 11.7m, can overlap with other areas! ";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;44958.162;483736.316;4124011.845
;G_STR_L;m;landuse;local roads length: outside settlement;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;3842.578;41344.984;352479.645
;VERK;m2;landuse;"traffic area: (roads and rail) ; outside settlement";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;44958.162;595188.158;4938026.885
;STR_A;m2;landuse;all roads area: outside settlement ;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;44958.162;589113.819;4887973.848
;GEL_A_ANT;%;landuse;"rail area: outside settlement;  from line data * assumed average width: Normalspurbahnen: 1.435m; Schmalspurbahnen: 0.75m; Bahnhofstrecken: 1.435m";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.015;0.017
;A_STR_A_ANT;%;landuse;"motorway area: outside settlement;  road length from line data * average width of 11.7m, can overlap with other areas! ";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0;0.011
;K_STR_A_ANT;%;landuse;"cantonal roads area: outside settlement; road length from line data * average width of 11.7m, can overlap with other areas! ";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.267;0.241
;G_STR_A_ANT;%;landuse;"local roads area: outside settlement; road length from line data * average width of 11.7m, can overlap with other areas! ";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0.05;1.227;1.36
;VERK_ANT;%;landuse;"traffic area: (roads and rail) ; outside settlement";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0.05;1.51;1.629
;STR_A_ANT;%;landuse;all roads area: outside settlement ;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0.05;1.495;1.612
;ACK;m2;landuse;Arable land: includes temporary grasslands on crop rotation fields (Kunstwiese) and all crops beside orchards and vineyards:  [HUEF]+ [KART] +  [GETR] + [MAIS] + [RAPS] + [RUEB] + [GEM] +[KW];;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;2630983.476;7164515.835
;HUEF;m2;landuse;legumes;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;39812.84511;1653.366195
;KART;m2;landuse;potatoes;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;36679.31595;21427.3254
;GETR;m2;landuse;cereals;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;1144050.593;1142864.14
;MAIS;m2;landuse;corn;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;198517.9227;580556.6737
;OBST;m2;landuse;orchards, not included in ACK;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;91728.29834;160313.341
;RAPS;m2;landuse;rape;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;218344.0461;71058.69061
;RUEB;m2;landuse;beet;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;170818.5184;35206.90079
;GEM;m2;landuse;vegetables;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;1026.854182;8644.082444
