"Taxa";"Prevalence";"Taxonomic level";"Null_model";"iGLM.fit";"GAM.fit";"SVM.fit";"RF.fit";"ANN.fit";"expl.pow_iGLM.fit";"expl.pow_GAM.fit";"expl.pow_SVM.fit";"expl.pow_RF.fit";"expl.pow_ANN.fit";"iGLM.pred";"GAM.pred";"SVM.pred";"RF.pred";"ANN.pred";"expl.pow_iGLM.pred";"expl.pow_GAM.pred";"expl.pow_SVM.pred";"expl.pow_RF.pred";"expl.pow_ANN.pred";"iGLM.likelihood.ratio";"GAM.likelihood.ratio";"SVM.likelihood.ratio";"RF.likelihood.ratio";"ANN.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"chGLM.model.diff";"chGLM.pred.expl.pow.diff"
"Occurrence.Erpobdellidae";0.209743399033098;"family";1.02723298994066;0.655481209897842;0.628465200973299;0.665391598169496;0.196982028218044;0.597097898625684;0.361896262759528;0.388196049846879;0.352248608947099;0.808240165427882;0.418731773148978;1.37976978614735;1.89915158865501;1.69935270419308;1.32030294873078;1.28377851618043;-0.343190687661864;-0.848803151040461;-0.654301137944605;-0.285300376506639;-0.249744243761671;0.696181909812239;0.52975364892679;0.596318384117747;0.570261380912883;0.709396756535016;"ANN-GAM";0.599058907278791;NA;NA
"Occurrence.Scirtidae";0.198214949795463;"family";0.995835677331573;0.971148249073173;0.933151818668535;0.95517646074985;0.315069061706723;0.884589148340399;0.0247906645848963;0.0629459860596727;0.0408292427227277;0.683613402412959;0.111711732691952;0.464422643794047;2.10745149650096;0.579889571382281;0.545851715282901;0.523506624338522;0.533635262959741;-1.11626430391413;0.417685483074733;0.451865676528524;0.474304208761326;1.28835060905647;0.555909460445903;1.2064032891482;0.891017396698238;1.1978655467901;"iGLM-GAM";1.64989956687387;NA;NA
"Occurrence.Ephemerellidae";0.197471178876906;"family";0.993753370585415;0.720297575281112;0.673811569093273;0.623612508677257;0.196241164418325;0.650850035752836;0.275174709740317;0.321952922085352;0.372467528527838;0.802525284213405;0.345058789215051;1.19315411244668;1.22623984315245;1.25455115302626;1.1017794625895;1.11673936196096;-0.200654154001807;-0.233947858139164;-0.262437129936182;-0.10870513268342;-0.123759068412617;0.789442508100938;0.758650458210551;0.72944644852794;0.635864906679566;0.792197410057055;"RF-SVM";0.153731997252763;NA;NA
"Occurrence.Asellidae";0.188174042394942;"family";0.967128897507618;0.621673122485235;0.598167336378782;0.637479398695109;0.171748061230028;0.57431246016358;0.35719724218008;0.381501950856483;0.340853736934184;0.822414507856565;0.40616761463375;1.19801892234931;1.30091540374527;1.40790499223836;1.17055627207305;1.26840107310295;-0.2387375927208;-0.345131354360158;-0.455757340998353;-0.210341532643358;-0.311511915704041;0.749631969716885;0.703720489457168;0.680305853911102;0.606892195752428;0.70677401290264;"RF-SVM";0.245415808354995;NA;NA
"Occurrence.Ephemeridae";0.178133134994422;"family";0.93710166506216;0.745682265146524;0.699489413767114;0.735652540859206;0.18639246257891;0.637937227243809;0.204267484577501;0.25356080365014;0.214970404720806;0.801096861175093;0.319244377608172;1.07971366925794;1.10332070432307;1.1036367828577;1.15000233743909;1.04633053037256;-0.152184132749691;-0.177375673801502;-0.177712967551389;-0.227190581678041;-0.116560315046662;0.846186324368069;0.817163856664939;0.831942358675317;0.617667533831001;0.815302025002992;"ANN-RF";0.110630266631379;NA;NA
"Occurrence.Chloroperlidae";0.185570844179993;"family";0.959473050927388;0.777532418526152;0.71311011566901;0.834432850916569;0.24349734254072;0.684525902611592;0.189625578566672;0.256768999421353;0.130321742637753;0.746217632370846;0.286560574108926;0.637060779206335;0.639306664494958;0.694745644885178;0.554843618215764;0.564199852315554;0.336030565328981;0.333689816637341;0.275909162624563;0.421720477006129;0.411969047207505;1.07276112959269;1.03759104717647;1.07234045732513;0.855838886006581;1.06200966671662;"RF-SVM";0.145811314381566;NA;NA
"Occurrence.Stratiomyidae";0.172182967645965;"family";0.918661513424507;0.891692567768775;0.860550631217838;0.882070779334536;0.345353753525347;0.834712182972847;0.0293567818632125;0.0632560321266187;0.0398304855001177;0.624068551388458;0.0913822220969303;0.783895574338293;0.926795731918496;0.845198160092425;0.780186495995273;0.726412635500418;0.146698144111692;-0.0088544239364801;0.0799678143239415;0.150735625043264;0.209270634629549;1.05537747243805;0.967419994664833;1.01860730761814;0.804594889383284;1.05564269786646;"ANN-GAM";0.21812505856603;NA;NA
"Occurrence.Dytiscidae";0.164373373001116;"family";0.8937025840299;0.830653786326988;0.794738790760543;0.7934252242065;0.26742108343009;0.772836068355891;0.0705478520814057;0.110734594525964;0.112204397318879;0.700771724051384;0.135242437287129;1.02657014144916;1.50627510558369;0.989159433629579;0.953179128081973;0.987560879135035;-0.148670888720193;-0.685432192432037;-0.106810533286414;-0.0665507128600669;-0.105021845950034;0.906686822815244;0.700635038447651;0.906769401128107;0.709724067133665;0.89820010144175;"RF-GAM";0.61888147957197;NA;NA
"Occurrence.Hydroptilidae";0.156563778356266;"family";0.867855311158231;0.589166774650324;0.574574154909809;0.630304460598282;0.204483033645479;0.562314275483724;0.321123271269691;0.337937848023321;0.273721722395079;0.764381192329655;0.352064487877288;1.30298678421357;1.4435362463118;1.62288340496024;1.31693240299942;1.32872685819296;-0.501387117715071;-0.663337457006825;-0.869993055402704;-0.51745617739189;-0.531046524817201;0.699835476747221;0.647600655033265;0.60878538912977;0.573369634030857;0.68167226168606;"iGLM-SVM";0.368605937687633;NA;NA
"Occurrence.Hydrobiidae";0.137597619933061;"family";0.801156770193558;0.483435023826182;0.4565005116614;0.516358991827975;0.145933343163953;0.425073517384227;0.39657874486989;0.430198272491525;0.35548320748357;0.817846707918732;0.469425294525653;1.20983854846061;1.8559818028766;1.52529908554168;1.17807484720897;1.22588163739728;-0.510114616104805;-1.31662749654876;-0.903870930496127;-0.470467318056046;-0.530139522007797;0.695446104525475;0.496714112073925;0.603825489865988;0.596861162046054;0.670049251225823;"RF-GAM";0.84616017849272;NA;NA
"Occurrence.Perlidae";0.143175901822239;"family";0.821374086085994;0.629683057413932;0.571748607891077;0.563814737139012;0.182162732442396;0.534717735722738;0.233378471416729;0.303912044978715;0.313571310941037;0.778221963015127;0.348996097173249;0.669303859187004;0.729328751986672;0.682915937042374;0.596291670984406;0.683747555923846;0.185141252293012;0.112062622450065;0.168568927835793;0.274031551414227;0.167556455083657;0.980384535725351;0.924233926616706;0.942187857724967;0.812967236892959;0.928193634495385;"RF-GAM";0.161968928964163;NA;NA
"Occurrence.Planorbidae";0.13015991074749;"family";0.773381154033002;0.471313122422888;0.446912539224614;0.497231021133944;0.146515204226564;0.436666538822696;0.390581060884274;0.422131588164426;0.357068609002172;0.810552399082236;0.435379907377388;1.16635890396392;1.24622522388355;1.29812394018247;1.12030819368324;1.22113114159369;-0.508129462273076;-0.61139849010385;-0.678504749453823;-0.448584812082756;-0.578951252206976;0.706435842883716;0.670550446248303;0.670020842062983;0.614530636813413;0.675547165189183;"RF-SVM";0.229919937371066;NA;NA
"Occurrence.Glossosomatidae";0.115284492376348;"family";0.714846343977457;0.666503948500463;0.635048435867221;0.668394610334642;0.183606836473663;0.590917019869184;0.0676262750509625;0.111629455452252;0.0649814243776569;0.743152024178984;0.173364982771991;0.435393354101511;0.51219228103692;0.465035017103559;0.521412743299108;0.404544069247758;0.390927354151452;0.283493179545348;0.349461571676971;0.270594656191526;0.434082481282838;1.12249658374964;1.0633540146091;1.10702894055646;0.844590864069972;1.09766640386839;"ANN-RF";0.163487825091311;NA;NA
"Occurrence.Blephariceridae";0.12235031610264;"family";0.743163645502999;0.545569116592267;0.505979494382375;0.63020794634332;0.207737219561009;0.512857231552008;0.265882931850082;0.319154674149984;0.151993036585135;0.720469077277851;0.309900000282054;0.0724802041383963;0.0737932179708962;0.222220470914768;0.0856186184502833;0.068613588055139;0.902470734976091;0.900703945332323;0.700980433771944;0.884791702381602;0.907673648367583;1.26686387435616;1.24121797843267;1.22629047405084;1.06296194655201;1.24872349027769;"ANN-SVM";0.206693214595639;NA;NA
"Occurrence.Glossiphoniidae";0.11230940870212;"family";0.702633278087749;0.462596698815457;0.430345228232263;0.424815371753708;0.129315030383331;0.401534326497961;0.341624267961751;0.387525126331237;0.395395315021424;0.815956581596493;0.428529306794639;0.98055589063604;1.54515261066744;0.991960894829864;0.985851293054652;1.018657989012;-0.395544334741261;-1.19908828524696;-0.411776136663402;-0.403080844302869;-0.449771909159114;0.771838771550571;0.572694025833646;0.753088324281717;0.651636667162189;0.734502535580041;"iGLM-GAM";0.803543950505697;NA;NA
"Occurrence.Capniidae";0.105987355894385;"family";0.676085621104913;0.494774985135163;0.437646552658056;0.460799690308358;0.130148011076083;0.411726735650584;0.268177033070809;0.352675846081715;0.318429979984958;0.807497738432324;0.391013914809034;0.479259296854726;0.496387935981815;0.381007614351945;0.36449727326405;0.480549312793391;0.291126327947217;0.265791313279851;0.436450646991617;0.460871135421635;0.289218262018294;1.00778801418076;0.971056435217058;1.0407025750244;0.889429857491551;0.966174046564789;"RF-GAM";0.195079822141784;NA;NA
