Taxa;Prevalence;Taxonomic level;Null_model;iGLM.fit;chGLM.fit;hGLM.fit;GAM.fit;SVM.fit;RF.fit;ANN.fit;expl.pow_iGLM.fit;expl.pow_chGLM.fit;expl.pow_hGLM.fit;expl.pow_GAM.fit;expl.pow_SVM.fit;expl.pow_RF.fit;expl.pow_ANN.fit;iGLM.pred;chGLM.pred;hGLM.pred;GAM.pred;SVM.pred;RF.pred;ANN.pred;expl.pow_iGLM.pred;expl.pow_chGLM.pred;expl.pow_hGLM.pred;expl.pow_GAM.pred;expl.pow_SVM.pred;expl.pow_RF.pred;expl.pow_ANN.pred;iGLM.likelihood.ratio;chGLM.likelihood.ratio;hGLM.likelihood.ratio;GAM.likelihood.ratio;SVM.likelihood.ratio;RF.likelihood.ratio;ANN.likelihood.ratio;Big.model.diff;Big.pred.expl.pow.diff;chGLM.model.diff;chGLM.pred.expl.pow.diff
Occurrence.Limnephilidae;0.822;family;0.936;0.872;0.877;0.879;0.826;0.819;0.254;0.787;0.069;0.063;0.061;0.117;0.125;0.729;0.159;0.885;0.894;0.893;0.872;0.904;0.867;0.882;0.055;0.044;0.046;0.068;0.034;0.074;0.058;0.994;0.991;0.993;0.977;0.958;0.736;0.954;RF-SVM;0.039702409;NA;NA
Occurrence.Dytiscidae;0.164;family;0.894;0.856;0.860;0.861;0.802;0.792;0.231;0.778;0.043;0.037;0.036;0.103;0.114;0.742;0.129;0.870;0.880;0.876;0.847;0.881;0.831;0.883;0.027;0.015;0.020;0.052;0.014;0.070;0.012;0.993;0.990;0.993;0.978;0.957;0.741;0.949;RF-ANN;0.057628843;NA;NA
Occurrence.group.Hemiptera;0.066;group;0.487;0.449;0.453;0.454;0.425;0.430;0.109;0.393;0.078;0.070;0.068;0.129;0.117;0.776;0.194;0.453;0.456;0.456;0.468;0.483;0.459;0.475;0.070;0.065;0.064;0.040;0.009;0.058;0.024;0.998;0.999;0.999;0.979;0.974;0.839;0.959;iGLM-SVM;0.060900292;NA;NA
Occurrence.Simuliidae;0.923;family;0.543;0.484;0.490;0.491;0.451;0.476;0.137;0.443;0.109;0.097;0.095;0.169;0.123;0.748;0.183;0.499;0.503;0.508;0.502;0.532;0.513;0.515;0.081;0.074;0.064;0.075;0.020;0.055;0.052;0.993;0.994;0.992;0.975;0.972;0.829;0.965;iGLM-SVM;0.061828182;NA;NA
Occurrence.Psychodidae;0.518;family;1.385;1.326;1.333;1.330;1.277;1.204;0.434;1.210;0.042;0.037;0.039;0.078;0.131;0.686;0.126;1.354;1.351;1.356;1.336;1.300;1.309;1.324;0.023;0.024;0.021;0.035;0.062;0.055;0.044;0.986;0.991;0.987;0.971;0.953;0.646;0.945;SVM-hGLM;0.040782788;NA;NA
Occurrence.Goeridae;0.090;family;0.605;0.557;0.567;0.565;0.532;0.533;0.133;0.505;0.079;0.064;0.067;0.120;0.120;0.781;0.165;0.581;0.585;0.585;0.597;0.597;0.572;0.585;0.040;0.033;0.033;0.014;0.013;0.054;0.033;0.988;0.991;0.990;0.968;0.968;0.803;0.961;RF-SVM;0.040806198;NA;NA
Occurrence.Empididae;0.688;family;1.241;1.215;1.217;1.219;1.163;1.129;0.376;1.096;0.021;0.019;0.017;0.063;0.090;0.697;0.117;1.239;1.244;1.239;1.214;1.217;1.191;1.213;0.002;-0.003;0.002;0.022;0.019;0.040;0.022;0.988;0.987;0.990;0.975;0.957;0.665;0.943;RF-chGLM;0.042720599;NA;NA
Occurrence.Limoniidae;0.865;family;0.792;0.737;0.742;0.745;0.695;0.716;0.203;0.675;0.069;0.062;0.059;0.122;0.095;0.743;0.147;0.756;0.758;0.766;0.751;0.776;0.767;0.764;0.044;0.043;0.032;0.051;0.020;0.030;0.034;0.990;0.992;0.989;0.972;0.971;0.754;0.956;GAM-SVM;0.031067098;NA;NA
Occurrence.Stratiomyidae;0.172;family;0.919;0.866;0.873;0.873;0.828;0.856;0.278;0.812;0.057;0.049;0.050;0.099;0.068;0.697;0.116;0.891;0.884;0.882;0.871;0.896;0.895;0.856;0.030;0.038;0.040;0.052;0.024;0.026;0.069;0.988;0.995;0.995;0.979;0.980;0.735;0.979;ANN-SVM;0.044261254;NA;NA
Occurrence.Tabanidae;0.075;family;0.532;0.488;0.496;0.498;0.451;0.471;0.126;0.446;0.082;0.067;0.063;0.151;0.114;0.762;0.160;0.501;0.502;0.509;0.491;0.528;0.520;0.504;0.057;0.055;0.043;0.076;0.007;0.022;0.051;0.994;0.997;0.995;0.980;0.972;0.821;0.971;GAM-SVM;0.069020835;NA;NA
Occurrence.Nematoda;0.336;phylum;1.276;1.240;1.248;1.247;1.207;1.168;0.413;1.173;0.028;0.023;0.023;0.055;0.085;0.677;0.081;1.258;1.263;1.260;1.255;1.240;1.251;1.248;0.015;0.010;0.013;0.017;0.029;0.020;0.023;0.991;0.992;0.994;0.976;0.965;0.658;0.963;SVM-chGLM;0.018187163;NA;NA
Occurrence.Tipulidae;0.275;family;1.176;1.141;1.147;1.146;1.121;1.102;0.399;1.094;0.030;0.025;0.026;0.047;0.063;0.660;0.070;1.154;1.162;1.159;1.163;1.159;1.191;1.163;0.019;0.012;0.014;0.011;0.015;-0.013;0.011;0.993;0.993;0.993;0.980;0.972;0.673;0.966;iGLM-RF;0.031335247;NA;NA
Occurrence.Sialidae;0.052;family;0.411;0.371;0.378;0.379;0.350;0.373;0.092;0.345;0.097;0.080;0.077;0.150;0.093;0.775;0.162;0.400;0.392;0.393;0.409;0.413;0.421;0.400;0.026;0.047;0.044;0.006;-0.005;-0.023;0.027;0.986;0.993;0.993;0.971;0.980;0.849;0.973;chGLM-RF;0.069393544;NA;NA
Occurrence.Anthomyiidae;0.066;family;0.485;0.466;0.475;0.471;0.445;0.456;0.128;0.415;0.041;0.022;0.029;0.084;0.061;0.736;0.145;0.484;0.484;0.485;0.490;0.489;0.497;0.500;0.003;0.003;0.002;-0.010;-0.007;-0.023;-0.029;0.991;0.996;0.993;0.978;0.984;0.832;0.959;chGLM-ANN;0.032566873;NA;NA
