"Taxa";"Prevalence";"Taxonomic level";"Null_model";"chGLM.fit";"hGLM.fit";"ada2020.fit";"rf2020.fit";"ada2021.fit";"rf2021.fit";"ada2022.fit";"rf2022.fit";"ada2023.fit";"rf2023.fit";"ada2024.fit";"rf2024.fit";"ANN.fit";"expl.pow_chGLM.fit";"expl.pow_hGLM.fit";"expl.pow_ada2020.fit";"expl.pow_rf2020.fit";"expl.pow_ada2021.fit";"expl.pow_rf2021.fit";"expl.pow_ada2022.fit";"expl.pow_rf2022.fit";"expl.pow_ada2023.fit";"expl.pow_rf2023.fit";"expl.pow_ada2024.fit";"expl.pow_rf2024.fit";"expl.pow_ANN.fit";"chGLM.pred";"hGLM.pred";"ada2020.pred";"rf2020.pred";"ada2021.pred";"rf2021.pred";"ada2022.pred";"rf2022.pred";"ada2023.pred";"rf2023.pred";"ada2024.pred";"rf2024.pred";"ANN.pred";"expl.pow_chGLM.pred";"expl.pow_hGLM.pred";"expl.pow_ada2020.pred";"expl.pow_rf2020.pred";"expl.pow_ada2021.pred";"expl.pow_rf2021.pred";"expl.pow_ada2022.pred";"expl.pow_rf2022.pred";"expl.pow_ada2023.pred";"expl.pow_rf2023.pred";"expl.pow_ada2024.pred";"expl.pow_rf2024.pred";"expl.pow_ANN.pred";"chGLM.likelihood.ratio";"hGLM.likelihood.ratio";"ada2020.likelihood.ratio";"rf2020.likelihood.ratio";"ada2021.likelihood.ratio";"rf2021.likelihood.ratio";"ada2022.likelihood.ratio";"rf2022.likelihood.ratio";"ada2023.likelihood.ratio";"rf2023.likelihood.ratio";"ada2024.likelihood.ratio";"rf2024.likelihood.ratio";"ANN.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"chGLM.model.diff";"chGLM.pred.expl.pow.diff"
"Occurrence.Perlodidae";0.443659352919301;"family";1.37357028038428;1.09977114902665;1.0962455819049;0.954302471261361;0.291500153845885;0.963924041389492;0.293552648494708;0.96794991252492;0.293222419188999;1.01068096792999;0.292974304801966;0.953253764078721;0.293172710725301;1.00371382581623;0.199333907603934;0.201900625282748;0.305239429762286;0.787779221777911;0.298234640662278;0.786284944653446;0.295303686787604;0.786525361405633;0.26419420806977;0.786705996055767;0.306002919769034;0.786561550645024;0.269266494659874;0.863833341515836;0.893481205676717;0.827262451696317;0.830504874880027;0.825460237769671;0.826551550496148;0.801726693393408;0.823605675996239;0.828858567509026;0.821687065646937;0.789659384173352;0.81798691667638;0.823634842136738;0.371103645840268;0.349519119308006;0.397728340871736;0.395367760397613;0.399040406189676;0.398245898080363;0.416319132087577;0.400390582296364;0.396566321107983;0.401787387670433;0.425104491957681;0.404481206125446;0.400369348478979;1.12520912104527;1.10669952835277;1.06558080762836;0.763759476652954;1.07168470595677;0.766056424290504;1.08666308377528;0.76705894560997;1.09517174991952;0.767699897685403;1.08523569080733;0.769197817238083;1.09421749551393;"ada2024-hGLM";0.0755853726496753;"ada2024-chGLM";0.0540008461174138
"Occurrence.Athericidae";0.368910375604314;"family";1.31674643300699;1.14594375760396;1.14346877089525;0.984671805141671;0.318336690388223;0.992577284424549;0.318453137205614;1.00939307079777;0.31766886497601;0.990994148915682;0.317601207878029;0.984743408942082;0.317220607169123;1.03918486990633;0.129715692498958;0.131595315368376;0.252193299743352;0.758239944754395;0.246189501984944;0.75815150949118;0.233418792339037;0.758747123202328;0.24739181054579;0.758798505227207;0.252138920404539;0.759087551545744;0.210793480159127;1.07946680331056;1.0411949327484;0.968642020041403;0.883981858895503;0.97897658142606;0.88572019819864;0.982791345667536;0.879342327795578;0.973412882739339;0.881762457460328;0.980181585207333;0.874748161688093;0.982937165992217;0.18020146001426;0.209266942633234;0.264367082560186;0.328662044007368;0.256518524078765;0.32734186628783;0.253621410294477;0.332185525054004;0.260743862038494;0.330347563238362;0.255603386774371;0.335674553763194;0.253510667389826;1.03379704681691;1.05246698622301;1.00804709778443;0.753653485995004;1.00682352639219;0.75304256127914;1.01338971252763;0.755151617955919;1.00882938416883;0.754212873826262;1.00228351512574;0.756718636253867;1.02852306112733;"rf2024-chGLM";0.155473093748934;"rf2024-chGLM";0.155473093748934
"Occurrence.Psychomyiidae";0.336184455187802;"family";1.27694430252207;1.05769561065524;1.05840339308436;0.906938856522656;0.292903533303419;0.919398454944468;0.29384090780014;0.903064809735065;0.291376970975142;0.968490043052625;0.292447181448244;0.900844226510883;0.292665730627699;0.924476869553379;0.171697928745832;0.171143650514805;0.289758484585916;0.770621527716667;0.280001129940766;0.76988745145753;0.292792326218585;0.77181700846337;0.241556549381382;0.770978905759134;0.294531308271127;0.770807755632207;0.276024124366693;1.358841785341;1.33044627979021;1.2652620124396;1.22686091815099;1.27784135180047;1.21906222425473;1.27289724789947;1.22427732055897;1.28303950018808;1.22397284017422;1.28576865335871;1.21801840729967;1.24830772929816;-0.0641355168406092;-0.0418984423693911;0.00914862931718641;0.0392212755655553;-0.000702496793809851;0.0453285849296768;0.0031693274441256;0.0412445412529597;-0.0047732682263187;0.0414829857835043;-0.00691052132752208;0.0461460183549262;0.0224258592699377;0.860214856891633;0.872823916016775;0.835970814026446;0.626893447849988;0.835920765559528;0.629637729061498;0.831173917448756;0.62722485966126;0.854469279447552;0.627656127999637;0.824925488724432;0.629596375745078;0.850513129502733;"rf2024-chGLM";0.110281535195535;"rf2024-chGLM";0.110281535195535
"Occurrence.Nematoda";0.335812569728524;"phylum";1.27643766236218;1.23825138492251;1.23678819942088;1.16459670597803;0.406019062154389;1.15045574257571;0.405804626350937;1.13665781913987;0.407448975619203;1.16698972942178;0.405295551383274;1.17068425782386;0.406747441885833;1.16854753417454;0.0299162885628122;0.0310625924872241;0.08761959920328;0.681912345485788;0.0986980590601854;0.68208034100157;0.109507770997316;0.680792107884707;0.0857448320177732;0.682479165779837;0.0828504263518918;0.681341710700462;0.0845244005006681;1.30454135577212;1.29731313119431;1.26173193080399;1.32710647039825;1.26703981927971;1.33996057866824;1.25185372039581;1.32222804600114;1.26441313319294;1.3353476486054;1.26437909162127;1.32038758997305;1.21045090206569;-0.0220172862636535;-0.0163544757787031;0.011520916368901;-0.0396954818320736;0.00736255546164213;-0.0497657803268696;0.0192598061709296;-0.0358735761166895;0.00942038105252225;-0.0461518709297569;0.00944705025280604;-0.0344317070130418;0.0516960304777981;0.96739829076867;0.970190858124305;0.952592930021842;0.630940507278044;0.943374405697622;0.626831210616746;0.944029417583339;0.632933742070493;0.952455681297235;0.628118743355693;0.954232986311309;0.633294275890714;0.979266277709227;"ANN-rf2021";0.101461810804668;"ANN-chGLM";0.0737133167414516
"Occurrence.Hydraenidae";0.317218296764597;"family";1.24950976125645;1.14516939086078;1.1447278750475;1.02637429194326;0.35186154511951;1.04158551044397;0.352244293576923;1.02421692768211;0.351614104944145;1.0778498313413;0.350426051803911;1.03372715809793;0.352163188973106;1.05878534413655;0.0835050462436959;0.0838583974754891;0.17857841229573;0.718400323046941;0.166404663060337;0.718094004145496;0.180304980849282;0.71859835285274;0.137381823846282;0.71954916826617;0.172693811484544;0.718158913285329;0.152639397493075;0.990495499755005;0.994252437569395;0.930916660575305;0.950521365464635;0.95265690367246;0.948145799403502;0.937126829352456;0.949874857397947;0.970847653559126;0.942101311787054;0.940021324925429;0.945988815545357;0.901395195137617;0.207292707534346;0.204285978070614;0.254974479239587;0.239284561883826;0.237575461023599;0.241185760365657;0.250004394995582;0.239801971260475;0.223017151476362;0.246023247677777;0.247687890024814;0.242912024477411;0.278600917666128;1.08040605308389;1.07814041460396;1.04888617527292;0.741314801793772;1.04546765638872;0.742337896826376;1.04450704742231;0.74146273401941;1.05495814050148;0.74390820659628;1.04796785905327;0.743108798751857;1.08187438068205;"ANN-hGLM";0.0743149395955139;"ANN-chGLM";0.0713082101317819
"Occurrence.Planariidae";0.326143547787281;"family";1.26282770894167;1.21661148983297;1.217521366272;1.04737146784216;0.354775590527498;1.07583214162566;0.353929436677961;1.0479535948764;0.354950497778833;1.076188566015;0.353385323498051;1.04791753103607;0.351647220653793;1.08415694852724;0.036597406583224;0.0358768993971739;0.170614122238477;0.719062554602304;0.148076864319615;0.719732601548174;0.170153151173212;0.718924050157004;0.14779462123387;0.720163470443478;0.170181709178451;0.721539828304452;0.141484669008539;1.08413774465243;1.07128684113318;1.02032125496459;0.937147677487909;1.02699202611692;0.943275949823859;1.0191207923559;0.946919188858964;1.02335970472878;0.945302491880755;1.00808957436843;0.94205086375338;1.00148395379999;0.141499876051176;0.151676168057011;0.19203447331728;0.25789743854029;0.18675206534896;0.253044621095315;0.192985088037077;0.250159636065839;0.189628404981376;0.251439855819303;0.201720419000563;0.254014734485926;0.206951235937563;1.06847978076621;1.07585668723767;1.01361698444352;0.747376620535614;1.02472066936129;0.744774898016243;1.01452081874428;0.743799071701809;1.02676638376339;0.74381823321588;1.02011358438214;0.744381340109144;1.04220274502361;"rf2020-chGLM";0.116397562489115;"rf2020-chGLM";0.116397562489115
"Occurrence.Sericostomatidae";0.276682781703235;"family";1.17958594850796;1.11228743786128;1.11298936116368;1.00020614556653;0.307454299976543;0.996546256959888;0.306899392665579;1.01003725953842;0.305987226297564;0.981185235914816;0.307395429302829;0.978167582012281;0.306282552234892;1.00379053322094;0.0570526554099775;0.0564575963527901;0.152070142212465;0.739354050151719;0.155172831432586;0.739824475652858;0.143735765235249;0.740597769340503;0.168195215316102;0.739403958065414;0.170753446792454;0.740347405271906;0.149031459309417;1.04764524122398;1.0636427372279;0.974963049104199;0.920971414126457;0.997031676829161;0.932193347922285;0.979271418844447;0.920816726694967;0.98945749484432;0.912767833341396;0.983557968782572;0.925340574973585;0.977234717680012;0.111853407079721;0.0982914483058389;0.173470105898249;0.219241789636966;0.154761314264306;0.209728338065233;0.169817663491913;0.219372926695428;0.161182365646294;0.226196417059782;0.166183718934039;0.215537811259932;0.171544287284788;1.03284909817416;1.02498021705287;1.01270153614054;0.735828239984132;0.999757319517037;0.731508105718581;1.01550184649415;0.735345552938078;0.995872412537722;0.738830903643908;0.997308435387732;0.733792482765007;1.01336645064186;"rf2023-hGLM";0.127904968753943;"rf2023-chGLM";0.11434300998006
"Occurrence.Tipulidae";0.274823354406843;"family";1.1759949175073;1.12200724619379;1.12923020732516;1.10620868172605;0.388689753300009;1.08164031332759;0.387106472117277;1.11501098990508;0.385144759448625;1.09599515675323;0.385711696967505;1.11797908006758;0.385756018517247;1.09207765122568;0.045908082177721;0.0397660818817694;0.0593422936972933;0.669480073839182;0.080233853714019;0.670826407194166;0.0518573054137701;0.672494537421132;0.0680273014475571;0.672012445610666;0.0493334083132672;0.671974757055144;0.0713585280279032;1.24901493797416;1.27691406572716;1.24918603629954;1.26153036161807;1.23623242491402;1.26914900765063;1.25440132904231;1.2631304636365;1.24092442241935;1.26678167443085;1.25675328025843;1.26915685175278;1.26792730289655;-0.0620921224911791;-0.0858159731113295;-0.0622376148932514;-0.0727345355302052;-0.0512225916200442;-0.0792130040330312;-0.0666724068001958;-0.0740951723787195;-0.0552124026604447;-0.0771999568807569;-0.0686723739608639;-0.0792196742167495;-0.0781741349563999;0.938470510039198;0.928818501320621;0.931006819058437;0.646346006922241;0.925615779124125;0.643379023192501;0.932678085240454;0.644685387763924;0.930098641032496;0.643691961004421;0.932965459150119;0.642942221411587;0.915829720869792;"ada2021-hGLM";0.0345933814912853;"ada2021-chGLM";0.0108695308711349
"Occurrence.Polycentropodidae";0.256972852361473;"family";1.13973348306801;1.04407685806528;1.04570239188418;0.90744198490216;0.276782389990545;0.884287619279936;0.277003434303661;0.905163805041018;0.277043592062421;0.899697262396587;0.276744387445455;0.88777282888175;0.27709676001984;0.944614408923822;0.0839289416550543;0.0825027013602392;0.203812120655218;0.757151655099678;0.224127717210208;0.756957711237889;0.205810991351733;0.75692247689639;0.210607325517257;0.757184998460783;0.221069800904694;0.756875827431223;0.171197106203243;1.27622227434088;1.29656550849008;1.23116209235849;1.21764215433606;1.24035456316693;1.21923680259541;1.25320837991667;1.21266694702741;1.24871177800121;1.22655168555109;1.23312213066312;1.2201051971896;1.41090327258263;-0.119755007026259;-0.137604122149598;-0.0802192886747289;-0.0683569206533569;-0.0882847451564409;-0.0697560620166989;-0.0995626596344247;-0.0639916831811235;-0.0956173496279578;-0.07617412647155;-0.0819390225719422;-0.0705179897893661;-0.237923859870003;0.89041048085591;0.882116135886381;0.850560228944538;0.624733648691156;0.836914409868097;0.624304727697316;0.84027816980227;0.62637147240358;0.839870758591156;0.621944978565978;0.841411322741322;0.624062834988805;0.792039169596503;"rf2022-ANN";0.17393217668888;"rf2022-chGLM";0.0557633238451356
"Occurrence.Odontoceridae";0.246931944960952;"family";1.11787874294149;1.03339744298942;1.03179409121712;0.888151630052758;0.267601990006872;0.922881825919167;0.266853845749265;0.895462929519103;0.267685149618542;0.926716503954842;0.266408743061894;0.887439443813362;0.266902183602285;0.893002665855084;0.0755728655594366;0.0770071461398854;0.20550271157697;0.76061626388679;0.174434766072412;0.761285517383496;0.198962378367746;0.76054187333934;0.171004449448281;0.761683684617807;0.206139798777968;0.761242276689168;0.201163210684805;0.966513874679004;0.928501987507073;0.932193902295992;0.971158774845287;0.94122486629703;0.976808290409535;0.941868637067845;0.962464600108778;0.9574227817438;0.963982377086919;0.934346705496581;0.960499087844726;1.2202960815438;0.135403655555875;0.169407242628217;0.166104635067038;0.131248553586532;0.158025973532358;0.12619477150156;0.157450087484896;0.139025939811474;0.143536105513088;0.137668210283361;0.16417884193949;0.140784191568619;-0.0916175741322561;1.03400724636871;1.05300296809864;0.978219559065137;0.703435991453083;0.99087040991684;0.701189414487673;0.97706426249554;0.706529922047806;0.984764119679759;0.705543524114953;0.976819267906084;0.706947797729097;0.849041928752953;"hGLM-ANN";0.261024816760473;"hGLM-chGLM";0.0340035870723427
