"Taxa";"Prevalence";"Taxonomic level";"Null_model";"iGLM.fit";"chGLM.fit";"hGLM.fit";"GAM.fit";"SVM.fit";"RF.fit";"BCT.fit";"ANN.fit";"expl.pow_iGLM.fit";"expl.pow_chGLM.fit";"expl.pow_hGLM.fit";"expl.pow_GAM.fit";"expl.pow_SVM.fit";"expl.pow_RF.fit";"expl.pow_BCT.fit";"expl.pow_ANN.fit";"iGLM.pred";"chGLM.pred";"hGLM.pred";"GAM.pred";"SVM.pred";"RF.pred";"BCT.pred";"ANN.pred";"expl.pow_iGLM.pred";"expl.pow_chGLM.pred";"expl.pow_hGLM.pred";"expl.pow_GAM.pred";"expl.pow_SVM.pred";"expl.pow_RF.pred";"expl.pow_BCT.pred";"expl.pow_ANN.pred";"iGLM.likelihood.ratio";"chGLM.likelihood.ratio";"hGLM.likelihood.ratio";"GAM.likelihood.ratio";"SVM.likelihood.ratio";"RF.likelihood.ratio";"BCT.likelihood.ratio";"ANN.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"chGLM.model.diff";"chGLM.pred.expl.pow.diff"
"Occurrence.Hydraenidae";0.317218296764597;"family";1.24950976125645;1.10523316898397;1.11139717627526;1.11282678367934;1.04476204130869;1.02778515979267;0.33526855207793;0.982928611865308;0.975211556364245;0.115466558762533;0.110533418196193;0.109389283553631;0.163862441332092;0.177449275178785;0.731679925620749;0.213348592909814;0.219524659508368;1.13059973259765;1.12771078388556;1.13696154372125;1.10779886523205;1.12737913314275;1.09427857076935;1.11700311254077;1.09674152140663;0.0951653459187288;0.0974774116597609;0.0900739002006845;0.113413196453867;0.0977428363511844;0.124233675718549;0.106046909615523;0.122262542147894;0.987396812036665;0.991876372653106;0.988005138812115;0.968973115593625;0.95142255635249;0.684199998010977;0.935160365648506;0.941044375666209;"RF-hGLM";0.0341597755178643;NA;NA
"Occurrence.Planariidae";0.326143547787281;"family";1.26282770894167;1.17833985576235;1.18340219288922;1.18456218247497;1.12957828288067;1.08132682170012;0.339233934487102;1.00516613430228;1.03248024943867;0.0669037055340899;0.062894974104594;0.0619764089056071;0.105516710725863;0.143725771897781;0.731369582655577;0.204035414185932;0.182406085859525;1.19512676787808;1.19495851311053;1.19780584698626;1.17796429196054;1.18208158905935;1.10135292164376;1.14899723541296;1.17753530011181;0.0536105919946332;0.0537438285132444;0.0514890998154489;0.0672011046164371;0.063940725492942;0.127867630837172;0.0901393537081188;0.0675408119618589;0.991641670647575;0.994238501350165;0.993400043762493;0.976097300366167;0.950870513768125;0.683137246131635;0.930609481946828;0.930040146639892;"RF-hGLM";0.076378531021723;NA;NA
"Occurrence.Sericostomatidae";0.276682781703235;"family";1.17958594850796;1.09013799518888;1.09517494966415;1.09548167498147;1.0312624566438;1.02346184802772;0.294838599793305;0.820055746454999;0.931404412043861;0.0758299583275187;0.0715598544985924;0.071299826547503;0.125741996207886;0.132355001920561;0.750049074282174;0.304793561255732;0.210397162477241;1.10533968413462;1.10969394924327;1.10772870439104;1.08151635634367;1.09921202454638;0.999329662726929;1.06183076982575;1.04893168847728;0.0629426490432976;0.059251298604477;0.0609173449444791;0.0831389966015908;0.0681374036908825;0.152813185007023;0.0998275529063037;0.110762814863932;0.992427968897281;0.992766786731575;0.993895195800553;0.975186104440201;0.962833202551303;0.703107465773545;0.886133633665669;0.942929615345303;"RF-chGLM";0.093561886402546;NA;NA
"Occurrence.Tipulidae";0.274823354406843;"family";1.1759949175073;1.14082659168989;1.14717907835263;1.14574061011912;1.12128280222307;1.10234727356696;0.399376181126851;1.10342657239516;1.09376896859418;0.0299051682059568;0.0245033704871341;0.0257265630469753;0.0465241086247167;0.0626258182275545;0.660392936073746;0.0617080431486494;0.069920326770973;1.15405137719565;1.16215001924666;1.15916307074912;1.16266427792414;1.15879601020931;1.1909014681051;1.16522397054609;1.16251972506218;0.0186595536978697;0.0117729235513916;0.0143128567203771;0.0113356268676884;0.0146249843787143;-0.0126756930458531;0.00915900808826743;0.0114585464992323;0.993409421009211;0.992542475912866;0.99331123969593;0.979521846763828;0.972170218129599;0.673166457417993;0.969573786822384;0.966208742823767;"iGLM-RF";0.0313352467437228;NA;NA
"Occurrence.Polycentropodidae";0.256972852361473;"family";1.13973348306801;1.08207624937465;1.0904639778119;1.08870190168073;1.00900034046587;0.970181924660291;0.28625833037527;0.897232936990843;0.939452137750574;0.0505883476706747;0.0432289706216977;0.0447750128827517;0.114705011780672;0.148764216307225;0.748837482948469;0.212769519962146;0.175726473156078;1.09789633359378;1.11006513270352;1.11086475602035;1.06716244811279;1.07259031245194;0.977245057330031;1.05389718692307;1.05615932548009;0.0367078357315697;0.0260309544338587;0.0253293664497284;0.0636736886590983;0.0589112907653838;0.14256703707658;0.075312603709663;0.0733278076230099;0.992121159949458;0.990247291703917;0.988979745674933;0.97133773063887;0.950084649238226;0.707871029590368;0.924657273774091;0.943316337589577;"RF-hGLM";0.117237670626852;NA;NA
"Occurrence.Odontoceridae";0.246931944960952;"family";1.11787874294149;1.00581413734249;1.0154030342166;1.01045138848278;0.935861632061403;0.956636809979321;0.264605800111089;0.865353602878835;0.862949188781998;0.100247550377535;0.0916697892074092;0.0960992908551347;0.162823662252617;0.144239197659211;0.763296509767394;0.225896718814225;0.228047590822499;1.02482681208635;1.03303971793861;1.03317557688359;0.982546212838223;1.05433753932625;0.95518251408822;0.994859709486858;0.991214398341941;0.0832397354746128;0.075892869006207;0.0757713361961048;0.121061904931802;0.056840872962696;0.145540140091727;0.110046849205602;0.113307767411565;0.990538705010825;0.991220425676759;0.988702210615689;0.976928033460957;0.952323620293314;0.708016162620777;0.937298897666193;0.937880623830743;"RF-SVM";0.088699267129031;NA;NA
"Occurrence.Dugesiidae";0.223131275567125;"family";1.06168527830838;0.992185143626401;0.997061722134258;0.99764160433304;0.949170361366523;0.957978820986001;0.27537158520938;0.923904835212552;0.91919847188445;0.0654620875903268;0.0608688445573003;0.0603226542590738;0.105977655752311;0.0976809789503933;0.740627857581168;0.129775222385453;0.134208139959295;1.00377449978677;1.00406054493955;1.00994302554843;1.00175547392987;1.04435412802297;0.96454343420364;0.983068009498506;0.989681202251934;0.054546087908354;0.0542766623463532;0.0487359614163644;0.0564478057697131;0.0163241881935344;0.0914977781923509;0.0740495045152569;0.0678205467548513;0.994222078684532;0.996506704401453;0.993868166290855;0.974050083450033;0.957731651489102;0.708513670890394;0.970851665396254;0.965372380853297;"RF-SVM";0.0751735899988165;NA;NA
"Occurrence.Lymnaeidae";0.216065451840833;"family";1.04376566858319;0.926285803204061;0.93018343658853;0.931507087119682;0.887815532468794;0.91988558995328;0.272336373716581;0.788983642715471;0.839934220326048;0.11255387000666;0.108819666533806;0.107551517397468;0.149411061130302;0.118685718795544;0.739082840225764;0.244098875386042;0.195284683518879;0.935438611790065;0.938111308795298;0.941454762397703;0.928180012186659;1.00774548913716;0.894340993575031;0.922798585950838;0.921814958757246;0.10378484371896;0.101224214369213;0.0980209536153468;0.110739086248569;0.034509833509777;0.143159216197431;0.115894866322391;0.116837249486734;0.995434051489081;0.996043909920862;0.995038511408883;0.980020058314686;0.957020994836232;0.732712183354092;0.935281737439367;0.959886367018237;"RF-SVM";0.108649382687654;NA;NA
"Occurrence.Erpobdellidae";0.209743399033098;"family";1.02723298994066;0.777436475762765;0.78173207743825;0.782702160014339;0.744393618119614;0.760877612867358;0.209975940592773;0.689795398999201;0.690508370393306;0.243174154864641;0.238992433952686;0.238048069251017;0.275341012789501;0.259294025485583;0.795590734868336;0.328491777664728;0.327797707866458;0.796778861998609;0.797489288789896;0.797110337507423;0.799790204350089;0.868885351633061;0.767752475867291;0.80159953994592;0.801764607948356;0.224344554934287;0.223652962278829;0.224021867177897;0.221413046327214;0.154149681579785;0.252601422086689;0.2196516780558;0.219490986173772;0.990375422473078;0.9921523491908;0.992821798498819;0.972681787327445;0.947428440531345;0.756624437928485;0.945631736624493;0.945890829530226;"RF-SVM";0.0984517405069041;NA;NA
"Occurrence.Scirtidae";0.198214949795463;"family";0.995835677331573;0.869502694665783;0.876930213573558;0.875084497696641;0.832340781829696;0.858859692581247;0.241577545582749;0.809986186343002;0.786626972829495;0.126861273944623;0.119402695107924;0.12125612928279;0.164178588118048;0.137548782262315;0.757412240712166;0.186626664638659;0.210083560234225;0.890035859538988;0.899707150491199;0.887189804194441;0.883718896735541;0.92931544951876;0.890640836791403;0.888883823562422;0.883055077987677;0.106242244780871;0.0965305110356747;0.109100201579701;0.112585623459945;0.066798397895383;0.105634737672834;0.10739909826864;0.113252218123076;0.989785939028541;0.988676134671957;0.993965627156529;0.974638098950026;0.965385400643249;0.722865831761815;0.961319154382349;0.952929788166187;"ANN-SVM";0.0464538202276926;NA;NA
