"Taxa";"Prevalence";"Taxonomic level";"Null_model";"iGLM.fit";"chGLM.fit";"hGLM.fit";"GAM.fit";"SVM.fit";"BCT.fit";"RF.fit";"ANN.fit";"expl.pow_iGLM.fit";"expl.pow_chGLM.fit";"expl.pow_hGLM.fit";"expl.pow_GAM.fit";"expl.pow_SVM.fit";"expl.pow_BCT.fit";"expl.pow_RF.fit";"expl.pow_ANN.fit";"iGLM.pred";"chGLM.pred";"hGLM.pred";"GAM.pred";"SVM.pred";"BCT.pred";"RF.pred";"ANN.pred";"expl.pow_iGLM.pred";"expl.pow_chGLM.pred";"expl.pow_hGLM.pred";"expl.pow_GAM.pred";"expl.pow_SVM.pred";"expl.pow_BCT.pred";"expl.pow_RF.pred";"expl.pow_ANN.pred";"iGLM.likelihood.ratio";"chGLM.likelihood.ratio";"hGLM.likelihood.ratio";"GAM.likelihood.ratio";"SVM.likelihood.ratio";"BCT.likelihood.ratio";"RF.likelihood.ratio";"ANN.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"chGLM.model.diff";"chGLM.pred.expl.pow.diff"
"Occurrence.Perlidae";0.143175901822239;"family";0.821374086085994;0.642075550331233;0.648078773414241;0.646491508119802;0.584321020166815;0.576704384325078;0.527426075626491;0.163576213498545;0.546811553084993;0.218290957545486;0.210982201176492;0.212914652323085;0.288605484315657;0.297878525638439;0.357873489605962;0.800850530507947;0.334272212445055;0.608427360056118;0.586309345657334;0.612301947844916;0.462569378692659;0.613219631486975;0.594048613937119;0.479724366123969;0.542050208959862;0.259256689049697;0.286184753586261;0.254539486675732;0.436834705978014;0.253422232482297;0.276762410696598;0.415948988103644;0.340069015881867;1.01696641725283;1.03136659477777;1.01724173206748;1.06276693237834;0.981908037106247;0.967237441545666;0.853786534267631;1.00238350811242;"GAM-SVM";0.183412473495717;NA;NA
"Occurrence.Planorbidae";0.13015991074749;"family";0.773381154033002;0.476113757306692;0.480636786455826;0.483696875310217;0.452388334648972;0.507250964321895;0.456047898837631;0.126752197358712;0.441093044841976;0.3843737272057;0.378525344263411;0.374568577488796;0.415051256046424;0.344112587077278;0.410319353582063;0.836106431223817;0.429656331109468;1.20805406792201;1.16830716026179;1.17647463916899;2.18712083878677;1.38665649289236;1.28456330359672;1.16135031357176;1.10757985030084;-0.562042288750238;-0.510648603433562;-0.521209345526392;-1.82799862316459;-0.792979419864663;-0.660970527789597;-0.501653237237017;-0.432126765082223;0.693523498896352;0.709045778450682;0.707237401776775;0.42005641635576;0.644227880161928;0.660830631694711;0.596128483918019;0.716595751564829;"ANN-GAM";1.39587185808237;NA;NA
"Occurrence.Glossosomatidae";0.115284492376348;"family";0.714846343977457;0.66543063052393;0.669453395517163;0.670137556168484;0.634881326637054;0.648829146886792;0.576548721764193;0.165166616835469;0.594976581588514;0.0691277417445748;0.0635002876390538;0.062543213916728;0.111863224893159;0.0923515908654444;0.193464824123973;0.768948084819921;0.167686053651724;0.443468766691552;0.45660256755993;0.434841073509825;1.38812700459668;0.450248608181062;0.414536426771746;0.427537244097593;0.477996863946258;0.379630643105679;0.36125774244104;0.391699940590957;-0.941853681272312;0.370146309099315;0.420104152082201;0.401917282364844;0.331329217847505;1.11737360047786;1.11229496169592;1.12484836660196;0.686174823494278;1.10438682268594;1.08437756275324;0.877055229041439;1.06023423361507;"BCT-GAM";1.36195783335451;NA;NA
"Occurrence.Blephariceridae";0.12235031610264;"family";0.743163645502999;0.549265529123233;0.557428879732359;0.555627142158454;0.510864142219915;0.630792981369233;0.479806645557814;0.184348371713865;0.509176565974096;0.26090904412921;0.249924450549419;0.252348866201083;0.312581898601695;0.151205814242581;0.354372824261252;0.751941079425257;0.314852698924114;0.0554877504042304;0.0536493630984897;0.0543493086409872;2.00166287642609;0.194105400649144;0.0784703152468301;0.0741563344629118;0.0570345501397661;0.925335757824006;0.927809489305444;0.926867643526613;-1.69343486934333;0.738812034437224;0.894410449540062;0.900215336269954;0.923254386184132;1.28003687915908;1.28645420859013;1.2848460641799;0.474544744531427;1.24401467436411;1.22221912962911;1.05664206712366;1.2536646822356;"chGLM-GAM";2.62124435864878;NA;NA
"Occurrence.Glossiphoniidae";0.11230940870212;"family";0.702633278087749;0.46712977260422;0.471846093456408;0.47237322119686;0.429501228262907;0.437179735204491;0.41701313927852;0.112701094620885;0.409277222668042;0.335172717871353;0.328460367347587;0.327710149905728;0.388726321884703;0.377798136185214;0.406499589069506;0.839601826250521;0.417509481216275;0.97487343242246;0.9823154627479;0.957595058474829;1.33547946917846;1.04952331960839;1.00024392633232;0.968359922534438;1.01134940800449;-0.387456960586361;-0.398048588619827;-0.362866075858192;-0.900677794272755;-0.493699988797458;-0.423564692316495;-0.378186819118327;-0.439370208534566;0.775791228906878;0.774734658295597;0.78457671857044;0.635725049986315;0.736260124842962;0.747055803225082;0.651922614213175;0.740051061847233;"hGLM-GAM";0.537811718414563;NA;NA
"Occurrence.Capniidae";0.105987355894385;"family";0.676085621104913;0.506670701983855;0.516222115820939;0.520440310621633;0.449320682334029;0.478292507805836;0.383705981054492;0.123302659439935;0.435118164459554;0.250582047351025;0.236454526310902;0.230215383413882;0.335408610525227;0.292556308143084;0.432459485786122;0.817622715835275;0.356415591639933;0.412546913418703;0.406528474481815;0.378851260156354;0.353611958247488;0.33661174047189;0.318585286778734;0.36786140058672;0.343412935407954;0.389800787739746;0.398702676419248;0.439640116088839;0.47697163316447;0.502116699476951;0.528779674003306;0.455895245951938;0.4920570343639;1.04818688384713;1.05637878688621;1.07336065467741;1.0490178673801;1.07340987844517;1.03309623566383;0.884901118634158;1.04692009877032;"BCT-iGLM";0.13897888626356;NA;NA
"Occurrence.Goeridae";0.0899962811454072;"family";0.605058437882366;0.562232837382243;0.567273489526298;0.563457858750833;0.541213647676046;0.578337667113853;0.542591016397663;0.133276678029178;0.529716212120547;0.0707792798494111;0.0624484281027652;0.0687546467034339;0.105518386669839;0.0441622975493614;0.10324196403794;0.779729246491247;0.124520576930566;0.559367148565163;0.56039060922831;0.560502208257271;0.610131008482302;0.571732318483647;0.553644089004806;0.555072044688778;0.595656678362022;0.0755154981015007;0.0738239909691846;0.0736395475799611;-0.00838360442949849;0.0550791746915498;0.084974187051262;0.0826141576812558;0.0155385974836568;1.00143387142055;1.00344736870311;1.00147891776863;0.966128258891947;1.00330813415295;0.994488706904544;0.8098569245062;0.967567360621173;"BCT-GAM";0.0933577914807605;NA;NA
"Occurrence.Philopotamidae";0.0948307921160283;"family";0.627148558480499;0.547791405855351;0.551722230720312;0.550504792832731;0.517485276477238;0.590879972094444;0.502895999657175;0.156677288346684;0.520487583029478;0.126536450657593;0.120268677556934;0.122209904832542;0.174860135641484;0.057830933190581;0.198123007927136;0.750175159891472;0.170072902199515;0.041320636117268;0.0392215594876347;0.0437776587440048;5.05209179928332;0.17813198413936;0.039768550953106;0.0418658737244764;0.0297904250106495;0.934113479878862;0.937460496468869;0.930195711762342;-7.05565400887454;0.715965249811063;0.936588308439295;0.933244088408794;0.952498615188038;1.28818646075214;1.29207614013412;1.28835159387824;0.103591162028284;1.22921283623798;1.26056965300254;1.05908540193604;1.27806674280584;"ANN-GAM";8.00815262406258;NA;NA
"Occurrence.Dixidae";0.092599479360357;"family";0.617022337572615;0.570827176990504;0.579769110485239;0.575245536454334;0.527233653946611;0.606279232216611;0.481132411334063;0.187774822221822;0.541487907370347;0.0748678901380531;0.0603758159452244;0.0677071129752483;0.145519340481636;0.0174112097760802;0.220235018999712;0.69567581141303;0.122417659139251;0.0487331662016012;0.05879227393699;0.0448752116799604;5.16436232408812;0.189109848278243;0.0511031108225825;0.0682864476302;0.0443146305143724;0.921018797482569;0.904716133668222;0.927271333714593;-7.36981420219709;0.693512152214445;0.917177859356561;0.889329051037535;0.928179860248322;1.29828869057144;1.29756368573845;1.30367234451489;0.098414774870673;1.23193326049664;1.23988006139299;1.06156495000738;1.28221190638108;"ANN-GAM";8.29799406244541;NA;NA
"Occurrence.Gyrinidae";0.0829304574191149;"family";0.571737729719057;0.320510419905481;0.324928547987552;0.32392753088791;0.30017522168317;0.340635604536592;0.282187714803292;0.0714135581901959;0.305053691392365;0.439410059463847;0.431682516129875;0.433433348806484;0.474977413453767;0.404210030525753;0.506438529180234;0.875093850767401;0.466444707886842;1.02529532349118;0.962297686551544;0.986467810854611;2.38079012505807;1.28448293936864;0.946716932494758;0.868948572427495;0.900531760258469;-0.793296594218117;-0.683110343311437;-0.725385189008508;-3.16412981215697;-1.24662965657316;-0.655858767550568;-0.519837728488695;-0.575078420486568;0.703004172583554;0.727104864347358;0.718011179311534;0.353346028424087;0.623801127452403;0.717297494478356;0.671146720050878;0.742495080116431;"RF-GAM";2.64429208366827;NA;NA
