"Taxa";"Prevalence";"Taxonomic level";"Null_model";"iGLM.fit";"GAM.fit";"SVM.fit";"RF.fit";"chGLM.fit";"hGLM.fit";"ANN.fit";"expl.pow_iGLM.fit";"expl.pow_GAM.fit";"expl.pow_SVM.fit";"expl.pow_RF.fit";"expl.pow_chGLM.fit";"expl.pow_hGLM.fit";"expl.pow_ANN.fit";"iGLM.pred";"GAM.pred";"SVM.pred";"RF.pred";"chGLM.pred";"hGLM.pred";"ANN.pred";"expl.pow_iGLM.pred";"expl.pow_GAM.pred";"expl.pow_SVM.pred";"expl.pow_RF.pred";"expl.pow_chGLM.pred";"expl.pow_hGLM.pred";"expl.pow_ANN.pred";"iGLM.likelihood.ratio";"GAM.likelihood.ratio";"SVM.likelihood.ratio";"RF.likelihood.ratio";"chGLM.likelihood.ratio";"hGLM.likelihood.ratio";"ANN.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"CF0.model.diff";"CF0.pred.expl.pow.diff"
"Occurrence.Leuctridae";0.680550390479732;"family";1.25290778493388;0.881949116144434;0.830462578211361;0.834895510322175;0.249998698863774;0.889385208358162;0.88912442116205;0.740998862719318;0.296078189672212;0.337171826851416;0.333633711625284;0.800465204327095;0.290143122221002;0.290351267783867;0.408576695244634;0.899942259340566;0.888052952174197;0.924365037798816;0.836521369181927;0.903018845215176;0.903022832343286;0.931421202260897;0.28171708232457;0.291206453616964;0.262224204435285;0.332336043210016;0.279261525809074;0.27925834350934;0.256592373787467;0.991043776463459;0.971615443581053;0.956251080661672;0.745827204355377;0.99320636337295;0.993074884304375;0.909180922668355;"RF-ANN";0.0757436694225488;NA;NA
"Occurrence.Ceratopogonidae";0.595760505764225;"family";1.34938646630396;1.1912686523765;1.14516858464298;1.0902837807115;0.440440555027476;1.19979655605981;1.20318204381944;1.07831675223099;0.117177560228953;0.151341284917689;0.192015180278309;0.673599397929442;0.110857722364661;0.108348813431476;0.200883676279521;1.21937312188836;1.20619796940545;1.18285591447467;1.17783910334604;1.22265111046354;1.22907528688172;1.21718407435032;0.096349969161699;0.106113778723983;0.12341205131946;0.127129897358318;0.0939207254594463;0.0891599126170178;0.097972223121337;0.986046037043556;0.969946181143452;0.954768795388656;0.691633371206181;0.988637766138415;0.987136825466307;0.932922020390023;"RF-hGLM";0.0379699847413005;NA;NA
"Occurrence.Psychodidae";0.517664559315731;"family";1.3850459547219;1.32454607428346;1.27245170969292;1.20353905612041;0.511662269001875;1.3285218505301;1.33006228095532;1.21074256021509;0.0436807748018606;0.0812927864560156;0.131047564149548;0.630581016277824;0.0408102734779989;0.039698086246977;0.125846650728498;1.35221081260469;1.33227476749624;1.29945785410658;1.31452296628379;1.34754309460628;1.34951227193323;1.33732282560801;0.0237068972370717;0.0381006760430969;0.0617944121807193;0.0509174357700432;0.0270769789173912;0.0256552374074829;0.0344559896739805;0.98626285847742;0.970531393728759;0.953172486054589;0.669361940044936;0.99053446089225;0.990322139360527;0.93867109500218;"SVM-iGLM";0.0380875149436476;NA;NA
"Occurrence.Leptophlebiidae";0.450353291186315;"family";1.37641891352558;1.16794958400482;1.10987448668764;1.03753444181542;0.359367933621203;1.17379631999945;1.1728608267471;1.04435692718845;0.151457762947173;0.19365065694659;0.246207363456042;0.738910930320833;0.147209974764969;0.147889632130292;0.241250670907003;1.18400102940064;1.15356203169963;1.16693170233254;1.08368499478749;1.18349035583987;1.19640123775717;1.18671747699338;0.139796018664174;0.161910650628248;0.152197277394611;0.21267792520249;0.140167034752186;0.130786982073143;0.137822457006415;0.992006397427988;0.978393075010259;0.937349909714805;0.696171994540966;0.995164709915155;0.988298792391991;0.931293988060734;"RF-hGLM";0.0818909431293469;NA;NA
"Occurrence.Sphaeriidae";0.428783934548159;"family";1.36593829332975;1.04531761828707;0.994705198976993;0.958730851660062;0.361223037783858;1.05208643816492;1.05090585598781;0.907185203547422;0.234725592369989;0.271778817656399;0.298115547135764;0.73554951966146;0.229770156307538;0.230634457559562;0.335851986888827;1.05997573992756;1.04548292004378;1.06712581433395;1.04602621610831;1.0683636886009;1.0673082752809;1.03323078950918;0.223994418266397;0.234604575368334;0.218759866719443;0.23420682968159;0.21785362207209;0.218626287517634;0.243574329415369;0.992697731252477;0.974930726225693;0.94724502481592;0.710062993841389;0.99189440372809;0.991832328526136;0.938922072612387;"ANN-chGLM";0.0257207073432795;NA;NA
"Occurrence.Taeniopterygidae";0.440684269245073;"family";1.37218774001095;1.13830779034487;1.06772849980186;0.996808010604322;0.358923570192649;1.14772647120926;1.14308537433702;0.989521840582728;0.170443112736315;0.221878706048389;0.273562952401565;0.738429691705463;0.163579124238421;0.166961385088678;0.278872845362375;1.17577658804909;1.12586299053238;1.11253078979865;1.0618201000284;1.17950817917417;1.18174008784338;1.15815813272616;0.143137229866441;0.179512425520289;0.1892284434856;0.226184530682421;0.140417783382354;0.138791250362032;0.155976912665816;0.981439999218913;0.971351143407925;0.943780756201665;0.703668253355199;0.984234739495122;0.980858219119548;0.919138789178853;"RF-hGLM";0.0873932803203888;NA;NA
"Occurrence.Perlodidae";0.443659352919301;"family";1.37357028038428;1.03399053000064;0.980807137267167;0.969583613547245;0.319098279596742;1.0421328517869;1.04012675948453;0.909174127133604;0.247224153895232;0.285943244933366;0.294114303873853;0.767686965746326;0.241296301565766;0.242756796402482;0.338094205940998;1.0598662031248;1.03564840330523;1.04889365531994;1.00466583836879;1.06178112614893;1.05846915952251;1.05598257880708;0.228385894583945;0.246017172841355;0.236374235596818;0.26857340121853;0.226991773692224;0.229402983860144;0.231213288546362;0.987145497470869;0.972951899744074;0.961120948620082;0.709791666559484;0.990223962014764;0.990870727163813;0.929225137289913;"RF-chGLM";0.0415816275263058;NA;NA
"Occurrence.Athericidae";0.368910375604314;"family";1.31674643300699;1.11217133618135;1.03756272680307;1.00002580767599;0.347323718537366;1.11819640659372;1.11766592213136;0.951033319724346;0.155364078988593;0.212025412946334;0.240532738416248;0.736225813998069;0.150788353350506;0.15119122853517;0.277739968846914;1.12952766980472;1.08571892178772;1.11923435902461;1.03276868238324;1.13014999634;1.13873186764619;1.11204112459041;0.142182851997351;0.175453303254211;0.15000008280359;0.215666238772523;0.141710227565132;0.135192745466016;0.155462967876897;0.991359379787535;0.9762094672694;0.942137286468089;0.709835176321469;0.994041030634523;0.989522304751076;0.92265130299181;"RF-hGLM";0.080473493306507;NA;NA
"Occurrence.Psychomyiidae";0.336184455187802;"family";1.27694430252207;1.10926428783029;1.0400391843104;1.02075918386319;0.368088946156233;1.1176956247061;1.11605209231469;0.954104003009456;0.131313491403345;0.185525020741906;0.200623565297949;0.711742363837462;0.124710746977328;0.125997829262881;0.25282253805039;1.11853238833478;1.07996180703864;1.13036442175174;1.03036372437618;1.12498110127581;1.12276698584637;1.06981472181033;0.124055461052152;0.154260835883269;0.114789564807817;0.193102062211229;0.119005348115902;0.120739265112182;0.162207216323093;0.995376670392231;0.980236596589915;0.946671984629618;0.718106502249644;0.996363888437336;0.996648183156068;0.943786447402453;"RF-SVM";0.078312497403412;NA;NA
"Occurrence.Nematoda";0.335812569728524;"phylum";1.27643766236218;1.2396781814145;1.20597112861762;1.16542550342424;0.510470041387216;1.24669694337298;1.24571418397861;1.16189477494751;0.0287984928928296;0.0552056209420767;0.0869702941328915;0.600082278642156;0.0232997817803038;0.0240697053130758;0.089736373966513;1.25732775617499;1.25346901688852;1.23801724299088;1.28507099889998;1.26040214293528;1.25783018224834;1.22855939296001;0.0149712804241651;0.0179943338800822;0.0300997224574181;-0.00676361783451678;0.0125627125395406;0.0145776645914738;0.0375092891834374;0.991214036767025;0.976530842780574;0.964354927786133;0.678887073132605;0.993170825741611;0.993960313543837;0.96721709122816;"ANN-RF";0.0442729070179541;NA;NA
